"Kod";"Nazwa";"ludność na 1 km2;2021;[osoba]";
3001043;"Margonin (3)";52;
3001044;"Margonin - miasto (4)";576;
3001045;"Margonin - obszar wiejski (5)";29;
3001053;"Szamocin (3)";59;
3001054;"Szamocin - miasto (4)";887;
3001055;"Szamocin - obszar wiejski (5)";27;
3002000;"Powiat czarnkowsko-trzcianecki";48;
3002011;"Czarnków (1)";1011;
3002022;"Czarnków (2)";33;
3002032;"Drawsko (2)";35;
3002043;"Krzyż Wielkopolski (3)";49;
3002044;"Krzyż Wielkopolski - miasto (4)";1045;
3002045;"Krzyż Wielkopolski - obszar wiejski (5)";15;
3002052;"Lubasz (2)";46;
3002062;"Połajewo (2)";43;
3002073;"Trzcianka (3)";64;
3002074;"Trzcianka - miasto (4)";920;
3002075;"Trzcianka - obszar wiejski (5)";20;
3002083;"Wieleń (3)";28;
3002084;"Wieleń - miasto (4)";1273;
3002085;"Wieleń - obszar wiejski (5)";15;
3003000;"Powiat gnieźnieński";115;
3003011;"Gniezno (1)";1645;
3003023;"Czerniejewo (3)";66;
3003024;"Czerniejewo - miasto (4)";260;
3003025;"Czerniejewo - obszar wiejski (5)";46;
3003032;"Gniezno (2)";73;
3003042;"Kiszkowo (2)";48;
3003053;"Kłecko (3)";56;
3003054;"Kłecko - miasto (4)";269;
3003055;"Kłecko - obszar wiejski (5)";39;
3003062;"Łubowo (2)";60;
3003072;"Mieleszyn (2)";40;
3003082;"Niechanowo (2)";57;
3003093;"Trzemeszno (3)";81;
3003094;"Trzemeszno - miasto (4)";1377;
3003095;"Trzemeszno - obszar wiejski (5)";39;
3003103;"Witkowo (3)";72;
3003104;"Witkowo - miasto (4)";911;
3003105;"Witkowo - obszar wiejski (5)";33;
3004000;"Powiat gostyński";93;
3004013;"Borek Wielkopolski (3)";58;
3004014;"Borek Wielkopolski - miasto (4)";395;
3004015;"Borek Wielkopolski - obszar wiejski (5)";40;
3004023;"Gostyń (3)";205;
3004024;"Gostyń - miasto (4)";1811;
3004025;"Gostyń - obszar wiejski (5)";64;
3004033;"Krobia (3)";99;
3004034;"Krobia - miasto (4)";617;
3004035;"Krobia - obszar wiejski (5)";70;
3004042;"Pępowo (2)";68;
3004052;"Piaski (2)";85;
3004063;"Pogorzela (3)";50;
3004064;"Pogorzela - miasto (4)";474;
3004065;"Pogorzela - obszar wiejski (5)";30;
3004073;"Poniec (3)";58;
3004074;"Poniec - miasto (4)";826;
3004075;"Poniec - obszar wiejski (5)";37;
3005000;"Powiat grodziski";81;
3005012;"Granowo (2)";76;
3005023;"Grodzisk Wielkopolski (3)";152;
3005024;"Grodzisk Wielkopolski - miasto (4)";809;
3005025;"Grodzisk Wielkopolski - obszar wiejski (5)";47;
3005032;"Kamieniec (2)";49;
3005043;"Rakoniewice (3)";65;
3005044;"Rakoniewice - miasto (4)";1062;
3005045;"Rakoniewice - obszar wiejski (5)";48;
3005053;"Wielichowo (3)";63;
3005054;"Wielichowo - miasto (4)";1395;
3005055;"Wielichowo - obszar wiejski (5)";48;
3006000;"Powiat jarociński";121;
3006013;"Jaraczewo (3)";60;
3006014;"Jaraczewo - miasto (4)";139;
3006015;"Jaraczewo - obszar wiejski (5)";53;
3006023;"Jarocin (3)";228;
3006024;"Jarocin - miasto (4)";1203;
3006025;"Jarocin - obszar wiejski (5)";108;
3006032;"Kotlin (2)";87;
3006043;"Żerków (3)";60;
3006044;"Żerków - miasto (4)";975;
3006045;"Żerków - obszar wiejski (5)";48;
3007000;"Powiat kaliski";71;
3007012;"Blizanów (2)";63;
3007022;"Brzeziny (2)";45;
3007032;"Ceków-Kolonia (2)";54;
3007042;"Godziesze Wielkie (2)";93;
3007053;"Koźminek (3)";85;
3007054;"Koźminek - miasto (4)";317;
3007055;"Koźminek - obszar wiejski (5)";68;
3007062;"Lisków (2)";67;
3007072;"Mycielin (2)";43;
3007083;"Opatówek (3)";103;
3007084;"Opatówek - miasto (4)";411;
3007085;"Opatówek - obszar wiejski (5)";75;
3007093;"Stawiszyn (3)";89;
3007094;"Stawiszyn - miasto (4)";1438;
3007095;"Stawiszyn - obszar wiejski (5)";72;
3007102;"Szczytniki (2)";70;
3007112;"Żelazków (2)";84;
3008000;"Powiat kępiński";92;
3008012;"Baranów (2)";109;
3008022;"Bralin (2)";71;
3008033;"Kępno (3)";196;
3008034;"Kępno - miasto (4)";1766;
3008035;"Kępno - obszar wiejski (5)";90;
3008042;"Łęka Opatowska (2)";68;
3008052;"Perzów (2)";50;
3008062;"Rychtal (2)";39;
3008072;"Trzcinica (2)";66;
3009000;"Powiat kolski";84;
3009011;"Koło (1)";1504;
3009022;"Babiak (2)";58;
3009032;"Chodów (2)";38;
3009043;"Dąbie (3)";47;
3009044;"Dąbie - miasto (4)";220;
3009045;"Dąbie - obszar wiejski (5)";35;
3009052;"Grzegorzew (2)";76;
3009063;"Kłodawa (3)";97;
3009064;"Kłodawa - miasto (4)";1449;
3009065;"Kłodawa - obszar wiejski (5)";51;
3009072;"Koło (2)";77;
3009082;"Kościelec (2)";66;
3009092;"Olszówka (2)";54;
3009102;"Osiek Mały (2)";71;
3009113;"Przedecz (3)";53;
3009114;"Przedecz - miasto (4)";538;
3009115;"Przedecz - obszar wiejski (5)";33;
3010000;"Powiat koniński";82;
3010013;"Golina (3)";123;
3010014;"Golina - miasto (4)";1257;
3010015;"Golina - obszar wiejski (5)";81;
3010022;"Grodziec (2)";43;
3010032;"Kazimierz Biskupi (2)";107;
3010043;"Kleczew (3)";90;
3010044;"Kleczew - miasto (4)";522;
3010045;"Kleczew - obszar wiejski (5)";57;
3010052;"Kramsk (2)";86;
3010062;"Krzymów (2)";89;
3010073;"Rychwał (3)";69;
3010074;"Rychwał - miasto (4)";239;
3010075;"Rychwał - obszar wiejski (5)";54;
3010082;"Rzgów (2)";69;
3010092;"Skulsk (2)";71;
3010103;"Sompolno (3)";75;
3010104;"Sompolno - miasto (4)";555;
3010105;"Sompolno - obszar wiejski (5)";52;
3010112;"Stare Miasto (2)";129;
3010123;"Ślesin (3)";97;
3010124;"Ślesin - miasto (4)";431;
3010125;"Ślesin - obszar wiejski (5)";79;
3010132;"Wierzbinek (2)";49;
3010142;"Wilczyn (2)";74;
3011000;"Powiat kościański";109;
3011011;"Kościan (1)";2606;
3011023;"Czempiń (3)";81;
3011024;"Czempiń - miasto (4)";1482;
3011025;"Czempiń - obszar wiejski (5)";48;
3011032;"Kościan (2)";80;
3011043;"Krzywiń (3)";55;
3011044;"Krzywiń - miasto (4)";756;
3011045;"Krzywiń - obszar wiejski (5)";46;
3011053;"Śmigiel (3)";91;
3011054;"Śmigiel - miasto (4)";1045;
3011055;"Śmigiel - obszar wiejski (5)";64;
3012000;"Powiat krotoszyński";107;
3012011;"Sulmierzyce (1)";95;
3012023;"Kobylin (3)";71;
3012024;"Kobylin - miasto (4)";660;
3012025;"Kobylin - obszar wiejski (5)";44;
3012033;"Koźmin Wielkopolski (3)";85;
3012034;"Koźmin Wielkopolski - miasto (4)";1076;
3012035;"Koźmin Wielkopolski - obszar wiejski (5)";46;
3012043;"Krotoszyn (3)";156;
3012044;"Krotoszyn - miasto (4)";1261;
3012045;"Krotoszyn - obszar wiejski (5)";50;
3012052;"Rozdrażew (2)";65;
3012063;"Zduny (3)";89;
3012064;"Zduny - miasto (4)";712;
3012065;"Zduny - obszar wiejski (5)";40;
3013000;"Powiat leszczyński";73;
3013012;"Krzemieniewo (2)";72;
3013022;"Lipno (2)";86;
3013033;"Osieczna (3)";73;
3013034;"Osieczna - miasto (4)";507;
3013035;"Osieczna - obszar wiejski (5)";56;
3013043;"Rydzyna (3)";74;
3013044;"Rydzyna - miasto (4)";1341;
3013045;"Rydzyna - obszar wiejski (5)";53;
3013052;"Święciechowa (2)";62;
3013062;"Wijewo (2)";62;
3013072;"Włoszakowice (2)";77;
3014000;"Powiat międzychodzki";49;
3014012;"Chrzypsko Wielkie (2)";39;
3014022;"Kwilcz (2)";45;
3014033;"Międzychód (3)";59;
3014034;"Międzychód - miasto (4)";1488;
3014035;"Międzychód - obszar wiejski (5)";26;
3014043;"Sieraków (3)";42;
3014044;"Sieraków - miasto (4)";419;
3014045;"Sieraków - obszar wiejski (5)";14;
3015000;"Powiat nowotomyski";74;
3015012;"Kuślin (2)";51;
3015023;"Lwówek (3)";49;
3015024;"Lwówek - miasto (4)";933;
3015025;"Lwówek - obszar wiejski (5)";34;
3015032;"Miedzichowo (2)";18;
3015043;"Nowy Tomyśl (3)";146;
3015044;"Nowy Tomyśl - miasto (4)";2710;
3015045;"Nowy Tomyśl - obszar wiejski (5)";72;
3015053;"Opalenica (3)";110;
3015054;"Opalenica - miasto (4)";1483;
3015055;"Opalenica - obszar wiejski (5)";48;
3015063;"Zbąszyń (3)";76;
3015064;"Zbąszyń - miasto (4)";1315;
3015065;"Zbąszyń - obszar wiejski (5)";38;
3016000;"Powiat obornicki";84;
3016013;"Oborniki (3)";101;
3016014;"Oborniki - miasto (4)";1258;
3016015;"Oborniki - obszar wiejski (5)";51;
3016023;"Rogoźno (3)";85;
3016024;"Rogoźno - miasto (4)";985;
3016025;"Rogoźno - obszar wiejski (5)";36;
3016032;"Ryczywół (2)";47;
3017000;"Powiat ostrowski";139;
3017011;"Ostrów Wielkopolski (1)";1694;
3017023;"Nowe Skalmierzyce (3)";126;
3017024;"Nowe Skalmierzyce - miasto (4)";2962;
3017025;"Nowe Skalmierzyce - obszar wiejski (5)";89;
3017033;"Odolanów (3)";108;
3017034;"Odolanów - miasto (4)";1061;
3017035;"Odolanów - obszar wiejski (5)";73;
3017042;"Ostrów Wielkopolski (2)";92;
3017052;"Przygodzice (2)";75;
3017063;"Raszków (3)";88;
3017064;"Raszków - miasto (4)";1023;
3017065;"Raszków - obszar wiejski (5)";73;
3017072;"Sieroszewice (2)";59;
3017082;"Sośnie (2)";35;
3018000;"Powiat ostrzeszowski";71;
3018012;"Czajków (2)";35;
3018022;"Doruchów (2)";54;
3018033;"Grabów nad Prosną (3)";63;
3018034;"Grabów nad Prosną - miasto (4)";741;
3018035;"Grabów nad Prosną - obszar wiejski (5)";48;
3018042;"Kobyla Góra (2)";47;
3018052;"Kraszewice (2)";49;
3018063;"Mikstat (3)";68;
3018064;"Mikstat - miasto (4)";706;
3018065;"Mikstat - obszar wiejski (5)";49;
3018073;"Ostrzeszów (3)";127;
3018074;"Ostrzeszów - miasto (4)";1141;
3018075;"Ostrzeszów - obszar wiejski (5)";57;
3019000;"Powiat pilski";106;
3019011;"Piła (1)";700;
3019022;"Białośliwie (2)";63;
3019032;"Kaczory (2)";52;
3019043;"Łobżenica (3)";49;
3019044;"Łobżenica - miasto (4)";894;
3019045;"Łobżenica - obszar wiejski (5)";35;
3019052;"Miasteczko Krajeńskie (2)";44;
3019062;"Szydłowo (2)";35;
3019073;"Ujście (3)";62;
3019074;"Ujście - miasto (4)";617;
3019075;"Ujście - obszar wiejski (5)";35;
3019083;"Wyrzysk (3)";86;
3019084;"Wyrzysk - miasto (4)";1228;
3019085;"Wyrzysk - obszar wiejski (5)";56;
3019093;"Wysoka (3)";53;
3019094;"Wysoka - miasto (4)";542;
3019095;"Wysoka - obszar wiejski (5)";33;
3020000;"Powiat pleszewski";88;
3020013;"Chocz (3)";64;
3020014;"Chocz - miasto (4)";254;
3020015;"Chocz - obszar wiejski (5)";44;
3020022;"Czermin (2)";50;
3020033;"Dobrzyca (3)";69;
3020034;"Dobrzyca - miasto (4)";157;
3020035;"Dobrzyca - obszar wiejski (5)";51;
3020042;"Gizałki (2)";42;
3020052;"Gołuchów (2)";80;
3020063;"Pleszew (3)";163;
3020064;"Pleszew - miasto (4)";1255;
3020065;"Pleszew - obszar wiejski (5)";76;
3021000;"Powiat poznański";217;
3021011;"Luboń (1)";2361;
3021021;"Puszczykowo (1)";579;
3021033;"Buk (3)";141;
3021034;"Buk - miasto (4)";1994;
3021035;"Buk - obszar wiejski (5)";78;
3021042;"Czerwonak (2)";337;
3021052;"Dopiewo (2)";283;
3021062;"Kleszczewo (2)";132;
3021072;"Komorniki (2)";485;
3021083;"Kostrzyn (3)";123;
3021084;"Kostrzyn - miasto (4)";1216;
3021085;"Kostrzyn - obszar wiejski (5)";63;
3021093;"Kórnik (3)";172;
3021094;"Kórnik - miasto (4)";1340;
3021095;"Kórnik - obszar wiejski (5)";133;
3021103;"Mosina (3)";198;
3021104;"Mosina - miasto (4)";1059;
3021105;"Mosina - obszar wiejski (5)";125;
3021113;"Murowana Goślina (3)";98;
3021114;"Murowana Goślina - miasto (4)";1201;
3021115;"Murowana Goślina - obszar wiejski (5)";40;
3021123;"Pobiedziska (3)";106;
3021124;"Pobiedziska - miasto (4)";928;
3021125;"Pobiedziska - obszar wiejski (5)";59;
3021132;"Rokietnica (2)";254;
3021143;"Stęszew (3)";87;
3021144;"Stęszew - miasto (4)";1039;
3021145;"Stęszew - obszar wiejski (5)";55;
3021152;"Suchy Las (2)";162;
3021163;"Swarzędz (3)";518;
3021164;"Swarzędz - miasto (4)";3575;
3021165;"Swarzędz - obszar wiejski (5)";249;
3021172;"Tarnowo Podgórne (2)";292;
3022000;"Powiat rawicki";108;
3022013;"Bojanowo (3)";70;
3022014;"Bojanowo - miasto (4)";1233;
3022015;"Bojanowo - obszar wiejski (5)";47;
3022023;"Jutrosin (3)";61;
3022024;"Jutrosin - miasto (4)";1198;
3022025;"Jutrosin - obszar wiejski (5)";45;
3022033;"Miejska Górka (3)";88;
3022034;"Miejska Górka - miasto (4)";1011;
3022035;"Miejska Górka - obszar wiejski (5)";59;
3022042;"Pakosław (2)";63;
3022053;"Rawicz (3)";224;
3022054;"Rawicz - miasto (4)";2244;
3022055;"Rawicz - obszar wiejski (5)";81;
3023000;"Powiat słupecki";70;
3023011;"Słupca (1)";1306;
3023022;"Lądek (2)";58;
3023032;"Orchowo (2)";39;
3023042;"Ostrowite (2)";49;
3023052;"Powidz (2)";29;
3023062;"Słupca (2)";65;
3023072;"Strzałkowo (2)";72;
3023083;"Zagórów (3)";55;
3023084;"Zagórów - miasto (4)";823;
3023085;"Zagórów - obszar wiejski (5)";38;
3024000;"Powiat szamotulski";82;
3024011;"Obrzycko (1)";638;
3024022;"Duszniki (2)";59;
3024032;"Kaźmierz (2)";70;
3024042;"Obrzycko (2)";41;
3024053;"Ostroróg (3)";58;
3024054;"Ostroróg - miasto (4)";1524;
3024055;"Ostroróg - obszar wiejski (5)";36;
3024063;"Pniewy (3)";79;
3024064;"Pniewy - miasto (4)";870;
3024065;"Pniewy - obszar wiejski (5)";30;
3024073;"Szamotuły (3)";171;
3024074;"Szamotuły - miasto (4)";1674;
3024075;"Szamotuły - obszar wiejski (5)";70;
3024083;"Wronki (3)";63;
3024084;"Wronki - miasto (4)";1873;
3024085;"Wronki - obszar wiejski (5)";27;
3025000;"Powiat średzki";95;
3025012;"Dominowo (2)";41;
3025022;"Krzykosy (2)";65;
3025032;"Nowe Miasto nad Wartą (2)";74;
3025043;"Środa Wielkopolska (3)";160;
3025044;"Środa Wielkopolska - miasto (4)";1086;
3025045;"Środa Wielkopolska - obszar wiejski (5)";50;
3025052;"Zaniemyśl (2)";65;
3026000;"Powiat śremski";107;
3026012;"Brodnica (2)";51;
3026023;"Dolsk (3)";47;
3026024;"Dolsk - miasto (4)";250;
3026025;"Dolsk - obszar wiejski (5)";37;
3026033;"Książ Wielkopolski (3)";57;
3026034;"Książ Wielkopolski - miasto (4)";1369;
3026035;"Książ Wielkopolski - obszar wiejski (5)";39;
3026043;"Śrem (3)";205;
3026044;"Śrem - miasto (4)";2330;
3026045;"Śrem - obszar wiejski (5)";69;
3027000;"Powiat turecki";89;
3027011;"Turek (1)";1613;
3027022;"Brudzew (2)";52;
3027033;"Dobra (3)";46;
3027034;"Dobra - miasto (4)";724;
3027035;"Dobra - obszar wiejski (5)";36;
3027042;"Kawęczyn (2)";51;
3027052;"Malanów (2)";61;
3027062;"Przykona (2)";42;
3027073;"Tuliszków (3)";70;
3027074;"Tuliszków - miasto (4)";455;
3027075;"Tuliszków - obszar wiejski (5)";51;
3027082;"Turek (2)";94;
3027092;"Władysławów (2)";88;
3028000;"Powiat wągrowiecki";67;
3028011;"Wągrowiec (1)";1425;
3028022;"Damasławek (2)";50;
3028033;"Gołańcz (3)";42;
3028034;"Gołańcz - miasto (4)";251;
3028035;"Gołańcz - obszar wiejski (5)";28;
3028042;"Mieścisko (2)";44;
3028053;"Skoki (3)";50;
3028054;"Skoki - miasto (4)";406;
3028055;"Skoki - obszar wiejski (5)";29;
3028062;"Wapno (2)";65;
3028072;"Wągrowiec (2)";36;
3029000;"Powiat wolsztyński";84;
3029012;"Przemęt (2)";63;
3029022;"Siedlec (2)";62;
3029033;"Wolsztyn (3)";122;
3029034;"Wolsztyn - miasto (4)";2649;
3029035;"Wolsztyn - obszar wiejski (5)";73;
3030000;"Powiat wrzesiński";111;
3030012;"Kołaczkowo (2)";51;
3030023;"Miłosław (3)";76;
3030024;"Miłosław - miasto (4)";784;
3030025;"Miłosław - obszar wiejski (5)";51;
3030033;"Nekla (3)";80;
3030034;"Nekla - miasto (4)";194;
3030035;"Nekla - obszar wiejski (5)";50;
3030043;"Pyzdry (3)";49;
3030044;"Pyzdry - miasto (4)";251;
3030045;"Pyzdry - obszar wiejski (5)";29;
3030053;"Września (3)";214;
3030054;"Września - miasto (4)";2430;
3030055;"Września - obszar wiejski (5)";79;
3031000;"Powiat złotowski";41;
3031011;"Złotów (1)";1569;
3031023;"Jastrowie (3)";32;
3031024;"Jastrowie - miasto (4)";119;
3031025;"Jastrowie - obszar wiejski (5)";10;
3031033;"Krajenka (3)";39;
3031034;"Krajenka - miasto (4)";946;
3031035;"Krajenka - obszar wiejski (5)";21;
3031042;"Lipka (2)";29;
3031053;"Okonek (3)";26;
3031054;"Okonek - miasto (4)";638;
3031055;"Okonek - obszar wiejski (5)";14;
3031062;"Tarnówka (2)";22;
3031072;"Zakrzewo (2)";30;
3031082;"Złotów (2)";35;
3061000;"Powiat m.Kalisz";1410;
3061011;"Kalisz (1)";1410;
3062000;"Powiat m.Konin";868;
3062011;"Konin (1)";868;
3063000;"Powiat m.Leszno";1952;
3063011;"Leszno (1)";1952;
3064000;"Powiat m.Poznań";2021;
3064011;"Poznań (1)";2021;
3200000;"ZACHODNIOPOMORSKIE";73;
3201000;"Powiat białogardzki";55;
3201011;"Białogard (1)";918;
3201022;"Białogard (2)";23;
3201033;"Karlino (3)";64;
3201034;"Karlino - miasto (4)";620;
3201035;"Karlino - obszar wiejski (5)";24;
3201043;"Tychowo (3)";19;
3201044;"Tychowo - miasto (4)";633;
3201045;"Tychowo - obszar wiejski (5)";12;
3202000;"Powiat choszczeński";36;
3202012;"Bierzwnik (2)";19;
3202023;"Choszczno (3)";87;
3202024;"Choszczno - miasto (4)";1548;
3202025;"Choszczno - obszar wiejski (5)";28;
3202033;"Drawno (3)";15;
3202034;"Drawno - miasto (4)";441;
3202035;"Drawno - obszar wiejski (5)";9;
3202042;"Krzęcin (2)";25;
3202053;"Pełczyce (3)";38;
3202054;"Pełczyce - miasto (4)";196;
3202055;"Pełczyce - obszar wiejski (5)";27;
3202063;"Recz (3)";30;
3202064;"Recz - miasto (4)";228;
3202065;"Recz - obszar wiejski (5)";15;
3203000;"Powiat drawski";32;
3203013;"Czaplinek (3)";32;
3203014;"Czaplinek - miasto (4)";515;
3203015;"Czaplinek - obszar wiejski (5)";13;
3203023;"Drawsko Pomorskie (3)";41;
3203024;"Drawsko Pomorskie - miasto (4)";506;
3203025;"Drawsko Pomorskie - obszar wiejski (5)";14;
3203033;"Kalisz Pomorski (3)";15;
3203034;"Kalisz Pomorski - miasto (4)";362;
3203035;"Kalisz Pomorski - obszar wiejski (5)";6;
3203052;"Wierzchowo (2)";18;
3203063;"Złocieniec (3)";57;
3203064;"Złocieniec - miasto (4)";390;
3203065;"Złocieniec - obszar wiejski (5)";14;
3204000;"Powiat goleniowski";51;
3204023;"Goleniów (3)";82;
3204024;"Goleniów - miasto (4)";1847;
3204025;"Goleniów - obszar wiejski (5)";33;
3204033;"Maszewo (3)";42;
3204034;"Maszewo - miasto (4)";602;
3204035;"Maszewo - obszar wiejski (5)";27;
3204043;"Nowogard (3)";72;
3204044;"Nowogard - miasto (4)";1294;
3204045;"Nowogard - obszar wiejski (5)";25;
3204052;"Osina (2)";30;
3204062;"Przybiernów (2)";22;
3204073;"Stepnica (3)";16;
3204074;"Stepnica - miasto (4)";720;
3204075;"Stepnica - obszar wiejski (5)";8;
3205000;"Powiat gryficki";58;
3205012;"Brojce (2)";31;
3205023;"Gryfice (3)";90;
3205024;"Gryfice - miasto (4)";1294;
3205025;"Gryfice - obszar wiejski (5)";30;
3205032;"Karnice (2)";29;
3205043;"Płoty (3)";36;
3205044;"Płoty - miasto (4)";938;
3205045;"Płoty - obszar wiejski (5)";20;
3205072;"Rewal (2)";90;
3205083;"Trzebiatów (3)";70;
3205084;"Trzebiatów - miasto (4)";954;
3205085;"Trzebiatów - obszar wiejski (5)";28;
3206000;"Powiat gryfiński";43;
3206012;"Banie (2)";30;
3206023;"Cedynia (3)";23;
3206024;"Cedynia - miasto (4)";889;
3206025;"Cedynia - obszar wiejski (5)";15;
3206033;"Chojna (3)";41;
3206034;"Chojna - miasto (4)";583;
3206035;"Chojna - obszar wiejski (5)";19;
3206043;"Gryfino (3)";124;
3206044;"Gryfino - miasto (4)";1756;
3206045;"Gryfino - obszar wiejski (5)";44;
3206053;"Mieszkowice (3)";29;
3206054;"Mieszkowice - miasto (4)";671;
3206055;"Mieszkowice - obszar wiejski (5)";15;
3206063;"Moryń (3)";34;
3206064;"Moryń - miasto (4)";287;
3206065;"Moryń - obszar wiejski (5)";22;
3206072;"Stare Czarnowo (2)";25;
3206083;"Trzcińsko-Zdrój (3)";30;
3206084;"Trzcińsko-Zdrój - miasto (4)";937;
3206085;"Trzcińsko-Zdrój - obszar wiejski (5)";18;
3206092;"Widuchowa (2)";26;
3207000;"Powiat kamieński";46;
3207013;"Dziwnów (3)";98;
3207014;"Dziwnów - miasto (4)";398;
3207015;"Dziwnów - obszar wiejski (5)";39;
3207023;"Golczewo (3)";33;
3207024;"Golczewo - miasto (4)";358;
3207025;"Golczewo - obszar wiejski (5)";19;
3207033;"Kamień Pomorski (3)";67;
3207034;"Kamień Pomorski - miasto (4)";795;
3207035;"Kamień Pomorski - obszar wiejski (5)";28;
3207043;"Międzyzdroje (3)";55;
3207044;"Międzyzdroje - miasto (4)";1014;
3207045;"Międzyzdroje - obszar wiejski (5)";10;
3207052;"Świerzno (2)";30;
3207063;"Wolin (3)";37;
3207064;"Wolin - miasto (4)";327;
3207065;"Wolin - obszar wiejski (5)";23;
3208000;"Powiat kołobrzeski";109;
3208011;"Kołobrzeg (1)";1781;
3208022;"Dygowo (2)";43;
3208033;"Gościno (3)";45;
3208034;"Gościno - miasto (4)";431;
3208035;"Gościno - obszar wiejski (5)";25;
3208042;"Kołobrzeg (2)";76;
3208052;"Rymań (2)";26;
3208062;"Siemyśl (2)";36;
3208072;"Ustronie Morskie (2)";64;
3209000;"Powiat koszaliński";40;
3209012;"Będzino (2)";52;
3209022;"Biesiekierz (2)";62;
3209033;"Bobolice (3)";24;
3209034;"Bobolice - miasto (4)";817;
3209035;"Bobolice - obszar wiejski (5)";13;
3209042;"Manowo (2)";37;
3209053;"Mielno (3)";78;
3209054;"Mielno - miasto (4)";85;
3209055;"Mielno - obszar wiejski (5)";69;
3209063;"Polanów (3)";22;
3209064;"Polanów - miasto (4)";389;
3209065;"Polanów - obszar wiejski (5)";15;
3209073;"Sianów (3)";61;
3209074;"Sianów - miasto (4)";412;
3209075;"Sianów - obszar wiejski (5)";34;
3209082;"Świeszyno (2)";59;
3210000;"Powiat myśliborski";55;
3210013;"Barlinek (3)";74;
3210014;"Barlinek - miasto (4)";769;
3210015;"Barlinek - obszar wiejski (5)";23;
3210022;"Boleszkowice (2)";22;
3210033;"Dębno (3)";63;
3210034;"Dębno - miasto (4)";689;
3210035;"Dębno - obszar wiejski (5)";22;
3210043;"Myślibórz (3)";59;
3210044;"Myślibórz - miasto (4)";727;
3210045;"Myślibórz - obszar wiejski (5)";27;
3210052;"Nowogródek Pomorski (2)";23;
3211000;"Powiat policki";124;
3211012;"Dobra (Szczecińska) (2)";237;
3211022;"Kołbaskowo (2)";136;
3211033;"Nowe Warpno (3)";8;
3211034;"Nowe Warpno - miasto (4)";47;
3211035;"Nowe Warpno - obszar wiejski (5)";3;
3211043;"Police (3)";162;
3211044;"Police - miasto (4)";854;
3211045;"Police - obszar wiejski (5)";42;
3212000;"Powiat pyrzycki";53;
3212012;"Bielice (2)";37;
3212022;"Kozielice (2)";26;
3212033;"Lipiany (3)";60;
3212034;"Lipiany - miasto (4)";694;
3212035;"Lipiany - obszar wiejski (5)";21;
3212042;"Przelewice (2)";31;
3212053;"Pyrzyce (3)";94;
3212054;"Pyrzyce - miasto (4)";320;
3212055;"Pyrzyce - obszar wiejski (5)";40;
3212062;"Warnice (2)";39;
3213000;"Powiat sławieński";53;
3213011;"Darłowo (1)";659;
3213021;"Sławno (1)";776;
3213032;"Darłowo (2)";29;
3213042;"Malechowo (2)";27;
3213052;"Postomino (2)";30;
3213062;"Sławno (2)";31;
3214000;"Powiat stargardzki";79;
3214011;"Stargard (1)";1400;
3214023;"Chociwel (3)";36;
3214024;"Chociwel - miasto (4)";846;
3214025;"Chociwel - obszar wiejski (5)";17;
3214033;"Dobrzany (3)";35;
3214034;"Dobrzany - miasto (4)";417;
3214035;"Dobrzany - obszar wiejski (5)";19;
3214042;"Dolice (2)";32;
3214053;"Ińsko (3)";22;
3214054;"Ińsko - miasto (4)";251;
3214055;"Ińsko - obszar wiejski (5)";10;
3214062;"Kobylanka (2)";49;
3214082;"Marianowo (2)";30;
3214092;"Stara Dąbrowa (2)";33;
3214102;"Stargard (2)";46;
3214113;"Suchań (3)";32;
3214114;"Suchań - miasto (4)";395;
3214115;"Suchań - obszar wiejski (5)";21;
3215000;"Powiat szczecinecki";43;
3215011;"Szczecinek (1)";814;
3215023;"Barwice (3)";32;
3215024;"Barwice - miasto (4)";482;
3215025;"Barwice - obszar wiejski (5)";19;
3215033;"Biały Bór (3)";19;
3215034;"Biały Bór - miasto (4)";174;
3215035;"Biały Bór - obszar wiejski (5)";12;
3215043;"Borne Sulinowo (3)";20;
3215044;"Borne Sulinowo - miasto (4)";275;
3215045;"Borne Sulinowo - obszar wiejski (5)";10;
3215052;"Grzmiąca (2)";22;
3215062;"Szczecinek (2)";18;
3216000;"Powiat świdwiński";42;
3216011;"Świdwin (1)";679;
3216022;"Brzeżno (2)";25;
3216033;"Połczyn-Zdrój (3)";43;
3216034;"Połczyn-Zdrój - miasto (4)";1095;
3216035;"Połczyn-Zdrój - obszar wiejski (5)";21;
3216042;"Rąbino (2)";19;
3216052;"Sławoborze (2)";21;
3216062;"Świdwin (2)";23;
3217000;"Powiat wałecki";37;
3217011;"Wałcz (1)";647;
3217023;"Człopa (3)";14;
3217024;"Człopa - miasto (4)";363;
3217025;"Człopa - obszar wiejski (5)";8;
3217033;"Mirosławiec (3)";26;
3217034;"Mirosławiec - miasto (4)";1242;
3217035;"Mirosławiec - obszar wiejski (5)";11;
3217043;"Tuczno (3)";19;
3217044;"Tuczno - miasto (4)";206;
3217045;"Tuczno - obszar wiejski (5)";12;
3217052;"Wałcz (2)";22;
3218000;"Powiat łobeski";34;
3218013;"Dobra (3)";37;
3218014;"Dobra - miasto (4)";935;
3218015;"Dobra - obszar wiejski (5)";18;
3218023;"Łobez (3)";60;
3218024;"Łobez - miasto (4)";770;
3218025;"Łobez - obszar wiejski (5)";17;
3218032;"Radowo Małe (2)";20;
3218043;"Resko (3)";27;
